,bed,discount_asked,end,host_name,messages,nightly_price,property_id,start,actions,id,prices,responses
0,2,0.6,2016-04-06,Mira,"Hi Mira, my name is Michele and I am interested in staying at your place for 2 days, from 2016-04-03 to 2016-04-06. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with a collegue of mine, who will stay with me.  I am wondering if you would be willing to lower the rate to $95/night? I would be willing to make the booking immediately if the price is ok with you.",166.0,428140,2016-04-03,[],428140,$222,"Hi Michele,

Thanks for your inquiry. Unfortunately, the whole apartment won't be available then.

Good luck and enjoy your visit.
Mira

MIRA EV(PHONE NUMBER HIDDEN)
(EMAIL HIDDEN)
Instagram | (SENSITIVE CONTENTS HIDDEN) @MiraEvnine *************** Hi Mira, my name is Michele and I am interested in staying at your place for 2 days, from 2016-04-03 to 2016-04-06. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with a collegue of mine, who will stay with me.  I am wondering if you would be willing to lower the rate to $95/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
1,2,0.7,2016-04-12,Peter,"Hi Peter, my name is Michele and I am interested in staying at your place for 2 days, from 2016-04-09 to 2016-04-12. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with a collegue of mine, who will stay with me.  I am wondering if you would be willing to lower the rate to $45/night? I would be willing to make the booking immediately if the price is ok with you.",65.0,15875,2016-04-09,"[<span class=""horizontal-rule-wrapper"" data-reactid="".5.3.0:$815243044.0.0""><span data-reactid="".5.3.0:$815243044.0.0.0""><span data-reactid="".5.3.0:$815243044.0.0.0.0"">Prenotazione rifiutata il </span><span data-reactid="".5.3.0:$815243044.0.0.0.$0"">Ieri alle 00:18</span></span></span>]",15875,$107,"Hi Peter, my name is Michele and I am interested in staying at your place for 2 days, from 2016-04-09 to 2016-04-12. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with a collegue of mine, who will stay with me.  I am wondering if you would be willing to lower the rate to $45/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
2,2,0.8,2016-04-12,Helena,"Hi Helena, my name is Michele and I am interested in staying at your place for 2 days, from 2016-04-09 to 2016-04-12. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with a collegue of mine, who will stay with me.  I am wondering if you would be willing to lower the rate to $90/night? I would be willing to make the booking immediately if the price is ok with you.",115.0,202716,2016-04-09,[],202716,$140,"dates are availiable.  if you want the bedroon only is available for lower rate *************** Hi Helena, my name is Michele and I am interested in staying at your place for 2 days, from 2016-04-09 to 2016-04-12. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with a collegue of mine, who will stay with me.  I am wondering if you would be willing to lower the rate to $90/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
3,4,0.6,2016-04-08,Andrew,"Hi Andrew, my name is Michele and I am interested in staying at your place for 2 days, from 2016-04-05 to 2016-04-08. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with 3 collegues of mine, who will stay with me.  I am wondering if you would be willing to lower the rate to $40/night? I would be willing to make the booking immediately if the price is ok with you.",70.0,10319189,2016-04-05,"[<span class=""horizontal-rule-wrapper"" data-reactid="".5.3.0:$815303387.0.0""><span data-reactid="".5.3.0:$815303387.0.0.0""><span data-reactid="".5.3.0:$815303387.0.0.0.$0"">Andrew</span><span data-reactid="".5.3.0:$815303387.0.0.0.1""> ti ha pre-approvato il </span><span data-reactid="".5.3.0:$815303387.0.0.0.$1"">Ieri alle 01:43</span></span></span>]",10319189,$126,"Hi Michele unfortunately, I cannot lower the place. I apologize  *************** Hi Andrew, my name is Michele and I am interested in staying at your place for 2 days, from 2016-04-05 to 2016-04-08. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with 3 collegues of mine, who will stay with me.  I am wondering if you would be willing to lower the rate to $40/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
4,6,0.7,2016-04-07,Collin,"Hi Collin, my name is Michele and I am interested in staying at your place for 2 days, from 2016-04-04 to 2016-04-07. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with 5 collegues of mine, who will stay with me.  I am wondering if you would be willing to lower the rate to $230/night? I would be willing to make the booking immediately if the price is ok with you.",332.0,8016728,2016-04-04,"[<span class=""horizontal-rule-wrapper"" data-reactid="".5.3.0:$815208412.0.0""><span data-reactid="".5.3.0:$815208412.0.0.0""><span data-reactid="".5.3.0:$815208412.0.0.0.0"">Prenotazione rifiutata il </span><span data-reactid="".5.3.0:$815208412.0.0.0.$0"">lo scorso Sabato alle 23:35</span></span></span>]",8016728,$427,"I'm sorry Michele, it's actually not avail fir those dates  *************** Hi Collin, my name is Michele and I am interested in staying at your place for 2 days, from 2016-04-04 to 2016-04-07. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with 5 collegues of mine, who will stay with me.  I am wondering if you would be willing to lower the rate to $230/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
5,1,0.9,2016-04-10,Matteo,"Hi Matteo, my name is Michele and I am interested in staying at your place for 2 days, from 2016-04-07 to 2016-04-10. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. I am wondering if you would be willing to lower the rate to $240/night? I would be willing to make the booking immediately if the price is ok with you.",272.0,8306987,2016-04-07,[],8306987,$322,"Hi Matteo, my name is Michele and I am interested in staying at your place for 2 days, from 2016-04-07 to 2016-04-10. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. I am wondering if you would be willing to lower the rate to $240/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
6,1,0.6,2016-04-08,Rafael,"Hi Rafael, my name is Michele and I am interested in staying at your place for 2 days, from 2016-04-05 to 2016-04-08. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. I am wondering if you would be willing to lower the rate to $25/night? I would be willing to make the booking immediately if the price is ok with you.",46.0,8455625,2016-04-05,"[<span class=""horizontal-rule-wrapper"" data-reactid="".5.3.0:$815204651.0.0""><span data-reactid="".5.3.0:$815204651.0.0.0""><span data-reactid="".5.3.0:$815204651.0.0.0.$0"">Rafael</span><span data-reactid="".5.3.0:$815204651.0.0.0.1""> ti ha pre-approvato il </span><span data-reactid="".5.3.0:$815204651.0.0.0.$1"">lo scorso Sabato alle 23:31</span></span></span>]",8455625,$50,"Feel free to book  *************** Hello michele sorry this is the price is a really good room everything include I can't put down the price  *************** Hi Rafael, my name is Michele and I am interested in staying at your place for 2 days, from 2016-04-05 to 2016-04-08. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. I am wondering if you would be willing to lower the rate to $25/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
7,3,0.7,2016-04-07,Mark,"Hi Mark, my name is Michele and I am interested in staying at your place for 2 days, from 2016-04-04 to 2016-04-07. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with 2 collegues of mine, who will stay with me.  I am wondering if you would be willing to lower the rate to $90/night? I would be willing to make the booking immediately if the price is ok with you.",129.0,8830586,2016-04-04,"[<span class=""horizontal-rule-wrapper"" data-reactid="".5.3.0:$815263572.0.0""><span data-reactid="".5.3.0:$815263572.0.0.0""><span data-reactid="".5.3.0:$815263572.0.0.0.$0"">Mark</span><span data-reactid="".5.3.0:$815263572.0.0.0.1""> ha inviato un'offerta speciale di </span><span data-reactid="".5.3.0:$815263572.0.0.0.$1"">$100</span><span data-reactid="".5.3.0:$815263572.0.0.0.3"">/notte</span></span></span>, <span class=""horizontal-rule-wrapper"" data-reactid="".5.3.0:$815263191.0.0""><span data-reactid="".5.3.0:$815263191.0.0.0""><span data-reactid="".5.3.0:$815263191.0.0.0.$0"">Mark</span><span data-reactid="".5.3.0:$815263191.0.0.0.1""> ha inviato un'offerta speciale di </span><span data-reactid="".5.3.0:$815263191.0.0.0.$1"">$183</span><span data-reactid="".5.3.0:$815263191.0.0.0.3"">/notte</span></span></span>]",8830586,$100,"I pay some one to clean the apt, cost Me $30 so I would do $100 a day
sent you the  offer *************** Hi Mark, my name is Michele and I am interested in staying at your place for 2 days, from 2016-04-04 to 2016-04-07. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with 2 collegues of mine, who will stay with me.  I am wondering if you would be willing to lower the rate to $90/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
8,3,0.8,2016-04-10,Douglas,"Hi Douglas, my name is Michele and I am interested in staying at your place for 2 days, from 2016-04-07 to 2016-04-10. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with 2 collegues of mine, who will stay with me.  I am wondering if you would be willing to lower the rate to $75/night? I would be willing to make the booking immediately if the price is ok with you.",94.6666666667,9106674,2016-04-07,"[<span class=""horizontal-rule-wrapper"" data-reactid="".5.3.0:$815896256-event.0.0""><span data-reactid="".5.3.0:$815896256-event.0.0.0""><span data-reactid="".5.3.0:$815896256-event.0.0.0.0"">Prenotazione rifiutata il </span><span data-reactid="".5.3.0:$815896256-event.0.0.0.$0"">Ieri alle 16:05</span></span></span>]",9106674,$119,"Hi Michele,
I do not offer discounts. Shop around, and you'll find that my listing at the standard rate is a tremendous value comparable to what's available in the market.

Good luck, and have a great trip. *************** Hi Michele,
I do not offer discounts. Shop around, and you'll find that my listing at the standard rate is a tremendous value comparable to what's available in the market.

Good luck, and have a great trip. *************** Hi Douglas, my name is Michele and I am interested in staying at your place for 2 days, from 2016-04-07 to 2016-04-10. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with 2 collegues of mine, who will stay with me.  I am wondering if you would be willing to lower the rate to $75/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
9,2,0.9,2016-04-06,Jacqueline,"Hi Jacqueline, my name is Michele and I am interested in staying at your place for 2 days, from 2016-04-03 to 2016-04-06. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with a collegue of mine, who will stay with me.  I am wondering if you would be willing to lower the rate to $115/night? I would be willing to make the booking immediately if the price is ok with you.",129.0,9434802,2016-04-03,"[<span class=""horizontal-rule-wrapper"" data-reactid="".5.3.0:$815290488.0.0""><span data-reactid="".5.3.0:$815290488.0.0.0""><span data-reactid="".5.3.0:$815290488.0.0.0.$0"">Jacqueline</span><span data-reactid="".5.3.0:$815290488.0.0.0.1""> ti ha pre-approvato il </span><span data-reactid="".5.3.0:$815290488.0.0.0.$1"">Ieri alle 01:24</span></span></span>]",9434802,$140,"Hi Jacqueline, my name is Michele and I am interested in staying at your place for 2 days, from 2016-04-03 to 2016-04-06. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with a collegue of mine, who will stay with me.  I am wondering if you would be willing to lower the rate to $115/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
